[2026-02-05T12:58:48.513+0000] {processor.py:161} INFO - Started process (PID=150603) to work on /home/cloud/codings/mvenv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2026-02-05T12:58:48.515+0000] {processor.py:830} INFO - Processing file /home/cloud/codings/mvenv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2026-02-05T12:58:48.519+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.518+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/cloud/codings/mvenv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2026-02-05T12:58:48.545+0000] {processor.py:840} INFO - DAG(s) 'dataset_produces_2', 'dataset_produces_1', 'consume_1_or_2_with_dataset_expressions', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1', 'dataset_consumes_unknown_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_and_2', 'consume_1_or_both_2_and_3_with_dataset_expressions' retrieved from /home/cloud/codings/mvenv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2026-02-05T12:58:48.774+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.773+0000] {dag.py:3089} INFO - Sync 10 DAGs
[2026-02-05T12:58:48.796+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.795+0000] {dag.py:3947} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2026-02-04 01:00:00+00:00, run_after=2026-02-04 01:00:00+00:00
[2026-02-05T12:58:48.798+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.798+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2026-02-05T12:58:48.799+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.799+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2026-02-05T12:58:48.800+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.799+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2026-02-05T12:58:48.800+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.800+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2026-02-05T12:58:48.801+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.801+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2026-02-05T12:58:48.802+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.802+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2026-02-05T12:58:48.802+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.802+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2026-02-05T12:58:48.805+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.805+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_1 to 2026-02-04 00:00:00+00:00, run_after=2026-02-05 00:00:00+00:00
[2026-02-05T12:58:48.806+0000] {logging_mixin.py:188} INFO - [2026-02-05T12:58:48.806+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2026-02-05T12:58:48.913+0000] {processor.py:183} INFO - Processing /home/cloud/codings/mvenv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.413 seconds
