ICD10_CHAPTER_NUMBER_2019_INTL_CORE_VER,ICD10_CHAPTER_2019_INTL_CORE_VER,ICD10_CODE_2019_INTL_CORE_VER,ICD10_TERM_2019_INTL_CORE_VER,MAPPED_MEDDRA_LLT,MAPPED_MEDDRA_LLT_CODE,MAP_ATTRIBUTE,MEDDRA_PT,MEDDRA_PT_CODE,MEDDRA_VER
I,Certain infectious and parasitic diseases,A00,Cholera,Cholera,10008631,Equivalent,Cholera,10008631,v28.0
I,Certain infectious and parasitic diseases,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",Cholera due to Vibrio cholerae O1,10080446,Equivalent,Cholera,10008631,v28.0
I,Certain infectious and parasitic diseases,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",Cholera due to Vibrio cholerae el tor,10008633,Equivalent,Cholera,10008631,v28.0
I,Certain infectious and parasitic diseases,A00.9,"Cholera, unspecified","Cholera, unspecified",10008634,Equivalent,Cholera,10008631,v28.0
I,Certain infectious and parasitic diseases,A01,Typhoid and paratyphoid fevers,Typhoid fever,10045275,Equivalent,Typhoid fever,10045275,v28.0
I,Certain infectious and parasitic diseases,A01.0,Typhoid fever,Typhoid fever,10045275,Equivalent,Typhoid fever,10045275,v28.0
I,Certain infectious and parasitic diseases,A01.1,Paratyphoid fever A,Paratyphoid fever A,10033972,Equivalent,Paratyphoid fever,10033971,v28.0
I,Certain infectious and parasitic diseases,A01.2,Paratyphoid fever B,Paratyphoid fever B,10033973,Equivalent,Paratyphoid fever,10033971,v28.0
I,Certain infectious and parasitic diseases,A01.3,Paratyphoid fever C,Paratyphoid fever C,10033974,Equivalent,Paratyphoid fever,10033971,v28.0
I,Certain infectious and parasitic diseases,A01.4,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified",10033975,Equivalent,Paratyphoid fever,10033971,v28.0
I,Certain infectious and parasitic diseases,A02,Other salmonella infections,Salmonellosis,10039447,Equivalent,Salmonellosis,10039447,v28.0
I,Certain infectious and parasitic diseases,A02.0,Salmonella enteritis,Salmonella enteritis,10039433,Equivalent,Gastroenteritis salmonella,10017914,v28.0
I,Certain infectious and parasitic diseases,A02.1,Salmonella sepsis,Salmonella sepsis,10058878,Equivalent,Salmonella sepsis,10058878,v28.0
I,Certain infectious and parasitic diseases,A02.2,Localized salmonella infections,"Localized salmonella infection, unspecified",10024782,Equivalent,Salmonellosis,10039447,v28.0
I,Certain infectious and parasitic diseases,A02.8,Other specified salmonella infections,Salmonellosis,10039447,Equivalent,Salmonellosis,10039447,v28.0
I,Certain infectious and parasitic diseases,A02.9,"Salmonella infection, unspecified","Salmonella infection, unspecified",10039437,Equivalent,Salmonellosis,10039447,v28.0
I,Certain infectious and parasitic diseases,A03,Shigellosis,Shigellosis,10040553,Equivalent,Shigella infection,10054178,v28.0
I,Certain infectious and parasitic diseases,A03.0,Shigellosis due to Shigella dysenteriae,Shigella dysenteriae gastroenteritis,10040546,Equivalent,Gastroenteritis shigella,10017915,v28.0
I,Certain infectious and parasitic diseases,A03.1,Shigellosis due to Shigella flexneri,Shigella flexneri gastroenteritis,10040548,Equivalent,Gastroenteritis shigella,10017915,v28.0
I,Certain infectious and parasitic diseases,A03.2,Shigellosis due to Shigella boydii,S.boydii gastroenteritis,10039342,Equivalent,Gastroenteritis shigella,10017915,v28.0
I,Certain infectious and parasitic diseases,A03.3,Shigellosis due to Shigella sonnei,Shigella sonnei gastroenteritis,10040552,Equivalent,Gastroenteritis shigella,10017915,v28.0
I,Certain infectious and parasitic diseases,A03.8,Other shigellosis,Shigellosis,10040553,Equivalent,Shigella infection,10054178,v28.0
I,Certain infectious and parasitic diseases,A03.9,"Shigellosis, unspecified","Shigellosis, unspecified",10040554,Equivalent,Shigella infection,10054178,v28.0
I,Certain infectious and parasitic diseases,A04,Other bacterial intestinal infections,Gastrointestinal bacterial infection,10068306,Equivalent,Gastrointestinal bacterial infection,10068306,v28.0
I,Certain infectious and parasitic diseases,A04.0,Enteropathogenic Escherichia coli infection,Enteropathic Escherichia coli gastroenteritis,10014906,Equivalent,Gastroenteritis Escherichia coli,10017903,v28.0
I,Certain infectious and parasitic diseases,A04.1,Enterotoxigenic Escherichia coli infection,Shiga toxin-producing Escherichia coli infection,10083587,Equivalent,Gastroenteritis Escherichia coli,10017903,v28.0
I,Certain infectious and parasitic diseases,A04.2,Enteroinvasive Escherichia coli infection,Intestinal infection due to enteroinvasive E. coli,10022663,Equivalent,Gastroenteritis Escherichia coli,10017903,v28.0
I,Certain infectious and parasitic diseases,A04.3,Enterohaemorrhagic Escherichia coli infection,Intestinal infection due to enterohaemorrhagic E. coli,10055861,Equivalent,Gastroenteritis Escherichia coli,10017903,v28.0
I,Certain infectious and parasitic diseases,A04.4,Other intestinal Escherichia coli infections,Gastroenteritis Escherichia coli,10017903,Equivalent,Gastroenteritis Escherichia coli,10017903,v28.0
I,Certain infectious and parasitic diseases,A04.5,Campylobacter enteritis,Campylobacter intestinal infection,10053137,Equivalent,Campylobacter gastroenteritis,10007048,v28.0
I,Certain infectious and parasitic diseases,A04.6,Enteritis due to Yersinia enterocolitica,Intestinal infection due to yersinia enterocolitica,10022677,Equivalent,Gastroenteritis yersinia,10017920,v28.0
I,Certain infectious and parasitic diseases,A04.7,Enterocolitis due to Clostridium difficile,Clostridioides enterocolitis,10087449,Equivalent,Clostridium difficile colitis,10009657,v28.0
I,Certain infectious and parasitic diseases,A04.8,Other specified bacterial intestinal infections,Gastrointestinal bacterial infection,10068306,Equivalent,Gastrointestinal bacterial infection,10068306,v28.0
I,Certain infectious and parasitic diseases,A04.9,"Bacterial intestinal infection, unspecified",Gastrointestinal bacterial infection,10068306,Equivalent,Gastrointestinal bacterial infection,10068306,v28.0
I,Certain infectious and parasitic diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",Bacterial food poisoning,10004022,Equivalent,Bacterial food poisoning,10004022,v28.0
I,Certain infectious and parasitic diseases,A05.0,Foodborne staphylococcal intoxication,Staphylococcal food poisoning,10041921,Equivalent,Gastroenteritis staphylococcal,10017916,v28.0
I,Certain infectious and parasitic diseases,A05.1,Botulism,Botulism,10006041,Equivalent,Botulism,10006041,v28.0
I,Certain infectious and parasitic diseases,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Food poisoning due to Clostridium perfringens (C. welchii),10016953,Equivalent,Gastroenteritis clostridial,10017898,v28.0
I,Certain infectious and parasitic diseases,A05.3,Foodborne Vibrio parahaemolyticus intoxication,Food poisoning due to Vibrio parahaemolyticus,10016955,Equivalent,Gastroenteritis vibrio,10017917,v28.0
I,Certain infectious and parasitic diseases,A05.4,Foodborne Bacillus cereus intoxication,Bacillus cereus gastroenteritis,10003976,Equivalent,Gastroenteritis bacillus,10017894,v28.0
I,Certain infectious and parasitic diseases,A05.8,Other specified bacterial foodborne intoxications,Bacterial food poisoning,10004022,Equivalent,Bacterial food poisoning,10004022,v28.0
I,Certain infectious and parasitic diseases,A05.9,"Bacterial foodborne intoxication, unspecified",Bacterial food poisoning,10004022,Equivalent,Bacterial food poisoning,10004022,v28.0
I,Certain infectious and parasitic diseases,A06,Amoebiasis,Amoebiasis,10001980,Equivalent,Amoebiasis,10001980,v28.0
I,Certain infectious and parasitic diseases,A06.0,Acute amoebic dysentery,Amoebic dysentery,10001986,Loss of Information,Amoebic dysentery,10001986,v28.0
I,Certain infectious and parasitic diseases,A06.1,Chronic intestinal amoebiasis,Intestinal amoebiasis,10062811,Loss of Information,Amoebic dysentery,10001986,v28.0
I,Certain infectious and parasitic diseases,A06.2,Amoebic nondysenteric colitis,Amoebic non-dysenteric colitis,10057699,Equivalent,Amoebic colitis,10001985,v28.0
I,Certain infectious and parasitic diseases,A06.3,Amoeboma of intestine,Amoeboma,10086745,Equivalent,Amoeboma,10086745,v28.0
I,Certain infectious and parasitic diseases,A06.4,Amoebic liver abscess,Amoebic liver abscess,10001989,Equivalent,Hepatic amoebiasis,10063741,v28.0
I,Certain infectious and parasitic diseases,A06.5,Amoebic lung abscess,Amoebic lung abscess,10001990,Equivalent,Amoebic lung abscess,10001990,v28.0
I,Certain infectious and parasitic diseases,A06.6,Amoebic brain abscess,Amoebic brain abscess,10001984,Equivalent,Amoebic brain abscess,10001984,v28.0
I,Certain infectious and parasitic diseases,A06.7,Cutaneous amoebiasis,Amoebic skin ulcer,10001992,Equivalent,Amoebic skin ulcer,10001992,v28.0
I,Certain infectious and parasitic diseases,A06.8,Amoebic infection of other sites,Amoebiasis,10001980,Equivalent,Amoebiasis,10001980,v28.0
I,Certain infectious and parasitic diseases,A06.9,"Amoebiasis, unspecified","Amoebiasis, unspecified",10001983,Equivalent,Amoebiasis,10001980,v28.0
I,Certain infectious and parasitic diseases,A07,Other protozoal intestinal diseases,Gastrointestinal protozoal infection,10061175,Equivalent,Gastrointestinal protozoal infection,10061175,v28.0
I,Certain infectious and parasitic diseases,A07.0,Balantidiasis,Balantidiasis,10004080,Equivalent,Balantidiasis,10004080,v28.0
I,Certain infectious and parasitic diseases,A07.1,Giardiasis [lambliasis],Giardia lamblia infection,10018261,Equivalent,Giardiasis,10018262,v28.0
I,Certain infectious and parasitic diseases,A07.2,Cryptosporidiosis,Cryptosporidiosis,10011501,Equivalent,Cryptosporidiosis infection,10011502,v28.0
I,Certain infectious and parasitic diseases,A07.3,Isosporiasis,Isosporiasis,10023076,Equivalent,Isosporiasis,10023076,v28.0
I,Certain infectious and parasitic diseases,A07.8,Other specified protozoal intestinal diseases,Gastrointestinal protozoal infection,10061175,Equivalent,Gastrointestinal protozoal infection,10061175,v28.0
I,Certain infectious and parasitic diseases,A07.9,"Protozoal intestinal disease, unspecified",Unspecified protozoal intestinal disease,10046118,Equivalent,Gastrointestinal protozoal infection,10061175,v28.0
I,Certain infectious and parasitic diseases,A08,Viral and other specified intestinal infections,Gastrointestinal viral infection,10069049,Loss of Information,Gastrointestinal viral infection,10069049,v28.0
I,Certain infectious and parasitic diseases,A08.0,Rotaviral enteritis,Enteritis due to rotavirus,10014874,Equivalent,Gastroenteritis rotavirus,10017913,v28.0
I,Certain infectious and parasitic diseases,A08.1,Acute gastroenteropathy due to Norovirus,Gastroenteritis norovirus,10068189,Loss of Information,Gastroenteritis norovirus,10068189,v28.0
I,Certain infectious and parasitic diseases,A08.2,Adenoviral enteritis,Enteritis due to adenovirus,10014867,Equivalent,Gastroenteritis adenovirus,10017889,v28.0
I,Certain infectious and parasitic diseases,A08.3,Other viral enteritis,Viral enteritis,10089748,Equivalent,Gastroenteritis viral,10017918,v28.0
I,Certain infectious and parasitic diseases,A08.4,"Viral intestinal infection, unspecified",Gastrointestinal viral infection,10069049,Equivalent,Gastrointestinal viral infection,10069049,v28.0
I,Certain infectious and parasitic diseases,A08.5,Other specified intestinal infections,Gastrointestinal infection,10017964,Equivalent,Gastrointestinal infection,10017964,v28.0
I,Certain infectious and parasitic diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,Gastrointestinal infection,10017964,Loss of Information,Gastrointestinal infection,10017964,v28.0
I,Certain infectious and parasitic diseases,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,Gastrointestinal infection,10017964,Loss of Information,Gastrointestinal infection,10017964,v28.0
I,Certain infectious and parasitic diseases,A09.9,Gastroenteritis and colitis of unspecified origin,Gastrointestinal infection,10017964,Loss of Information,Gastrointestinal infection,10017964,v28.0
I,Certain infectious and parasitic diseases,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A15.1,"Tuberculosis of lung, confirmed by culture only",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A15.2,"Tuberculosis of lung, confirmed histologically",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A15.3,"Tuberculosis of lung, confirmed by unspecified means",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",Tuberculosis of intrathoracic lymph nodes,10044846,Equivalent,Tuberculosis of intrathoracic lymph nodes,10044846,v28.0
I,Certain infectious and parasitic diseases,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Other respiratory tuberculosis, other",10032445,Loss of Information,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Tuberculous pleurisy,10045104,Equivalent,Tuberculous pleurisy,10045104,v28.0
I,Certain infectious and parasitic diseases,A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",Tuberculosis of intrathoracic lymph nodes,10044846,Equivalent,Tuberculosis of intrathoracic lymph nodes,10044846,v28.0
I,Certain infectious and parasitic diseases,A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, other",10032445,Loss of Information,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Tuberculous pleurisy,10045104,Equivalent,Tuberculous pleurisy,10045104,v28.0
I,Certain infectious and parasitic diseases,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Pulmonary tuberculosis,10037440,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, other",10032445,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, other",10032445,Equivalent,Pulmonary tuberculosis,10037440,v28.0
I,Certain infectious and parasitic diseases,A17,Tuberculosis of nervous system,Tuberculosis of central nervous system,10061391,Equivalent,Tuberculosis of central nervous system,10061391,v28.0
I,Certain infectious and parasitic diseases,A17.0,Tuberculous meningitis,Tuberculous meningitis,10045080,Equivalent,Meningitis tuberculous,10027259,v28.0
I,Certain infectious and parasitic diseases,A17.1,Meningeal tuberculoma,Tuberculoma of meninges,10044739,Equivalent,Tuberculoma of central nervous system,10052883,v28.0
I,Certain infectious and parasitic diseases,A17.8,Other tuberculosis of nervous system,Tuberculosis of central nervous system,10061391,Equivalent,Tuberculosis of central nervous system,10061391,v28.0
I,Certain infectious and parasitic diseases,A17.9,"Tuberculosis of nervous system, unspecified",Unspecified tuberculosis of central nervous system,10046190,Equivalent,Tuberculosis of central nervous system,10061391,v28.0
I,Certain infectious and parasitic diseases,A18,Tuberculosis of other organs,Extrapulmonary tuberculosis,10064445,Equivalent,Extrapulmonary tuberculosis,10064445,v28.0
I,Certain infectious and parasitic diseases,A18.0,Tuberculosis of bones and joints,Joint tuberculosis,10056367,Equivalent,Joint tuberculosis,10056367,v28.0
I,Certain infectious and parasitic diseases,A18.1,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,10044828,Equivalent,Tuberculosis of genitourinary system,10044828,v28.0
I,Certain infectious and parasitic diseases,A18.2,Tuberculous peripheral lymphadenopathy,Tuberculosis of peripheral lymph nodes,10044965,Equivalent,Tuberculosis of peripheral lymph nodes,10044965,v28.0
I,Certain infectious and parasitic diseases,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",Tuberculosis gastrointestinal,10061390,Loss of Information,Tuberculosis gastrointestinal,10061390,v28.0
I,Certain infectious and parasitic diseases,A18.4,Tuberculosis of skin and subcutaneous tissue,Skin tuberculosis,10040939,Equivalent,Cutaneous tuberculosis,10011684,v28.0
I,Certain infectious and parasitic diseases,A18.5,Tuberculosis of eye,Tuberculosis of eye,10044819,Equivalent,Tuberculosis of eye,10044819,v28.0
I,Certain infectious and parasitic diseases,A18.6,Tuberculosis of ear,Tuberculosis of ear,10044795,Equivalent,Ear tuberculosis,10014027,v28.0
I,Certain infectious and parasitic diseases,A18.7,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands,10044768,Equivalent,Adrenal gland tuberculosis,10001358,v28.0
I,Certain infectious and parasitic diseases,A18.8,Tuberculosis of other specified organs,Extrapulmonary tuberculosis,10064445,Equivalent,Extrapulmonary tuberculosis,10064445,v28.0
I,Certain infectious and parasitic diseases,A19,Miliary tuberculosis,Miliary tuberculosis,10027630,Equivalent,Disseminated tuberculosis,10013453,v28.0
I,Certain infectious and parasitic diseases,A19.0,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis,10000862,Equivalent,Disseminated tuberculosis,10013453,v28.0
I,Certain infectious and parasitic diseases,A19.1,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis,10000862,Equivalent,Disseminated tuberculosis,10013453,v28.0
I,Certain infectious and parasitic diseases,A19.2,"Acute miliary tuberculosis, unspecified",Acute miliary tuberculosis,10000862,Equivalent,Disseminated tuberculosis,10013453,v28.0
I,Certain infectious and parasitic diseases,A19.8,Other miliary tuberculosis,Miliary tuberculosis,10027630,Equivalent,Disseminated tuberculosis,10013453,v28.0
I,Certain infectious and parasitic diseases,A19.9,"Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified",10027632,Equivalent,Disseminated tuberculosis,10013453,v28.0
I,Certain infectious and parasitic diseases,A20,Plague,Plague,10035148,Equivalent,Plague,10035148,v28.0
I,Certain infectious and parasitic diseases,A20.0,Bubonic plague,Bubonic plague,10006520,Equivalent,Bubonic plague,10006520,v28.0
I,Certain infectious and parasitic diseases,A20.1,Cellulocutaneous plague,Cellulocutaneous plague,10007924,Equivalent,Plague,10035148,v28.0
I,Certain infectious and parasitic diseases,A20.2,Pneumonic plague,Pneumonic plague,10053026,Equivalent,Pneumonic plague,10053026,v28.0
I,Certain infectious and parasitic diseases,A20.3,Plague meningitis,Yersinia meningitis,10080431,Equivalent,Yersinia meningitis,10080431,v28.0
I,Certain infectious and parasitic diseases,A20.7,Septicaemic plague,Septicaemic plague,10040088,Equivalent,Plague sepsis,10058889,v28.0
I,Certain infectious and parasitic diseases,A20.8,Other forms of plague,Plague,10035148,Equivalent,Plague,10035148,v28.0
I,Certain infectious and parasitic diseases,A20.9,"Plague, unspecified","Plague, unspecified",10035149,Equivalent,Plague,10035148,v28.0
I,Certain infectious and parasitic diseases,A21,Tularaemia,Tularaemia,10045146,Equivalent,Tularaemia,10045146,v28.0
I,Certain infectious and parasitic diseases,A21.0,Ulceroglandular tularaemia,Ulceroglandular tularaemia,10060428,Equivalent,Tularaemia,10045146,v28.0
I,Certain infectious and parasitic diseases,A21.1,Oculoglandular tularaemia,Oculoglandular tularaemia,10060403,Equivalent,Tularaemia,10045146,v28.0
I,Certain infectious and parasitic diseases,A21.2,Pulmonary tularaemia,Pulmonary tularaemia,10060408,Equivalent,Tularaemia,10045146,v28.0
I,Certain infectious and parasitic diseases,A21.3,Gastrointestinal tularaemia,Enteric tularaemia,10060370,Equivalent,Tularaemia,10045146,v28.0
I,Certain infectious and parasitic diseases,A21.7,Generalized tularaemia,Generalized tularemia,10080448,Equivalent,Tularaemia,10045146,v28.0
I,Certain infectious and parasitic diseases,A21.8,Other forms of tularaemia,Tularaemia,10045146,Equivalent,Tularaemia,10045146,v28.0
I,Certain infectious and parasitic diseases,A21.9,"Tularaemia, unspecified",Unspecified tularaemia,10060438,Equivalent,Tularaemia,10045146,v28.0
I,Certain infectious and parasitic diseases,A22,Anthrax,Anthrax,10002713,Equivalent,Anthrax,10002713,v28.0
I,Certain infectious and parasitic diseases,A22.0,Cutaneous anthrax,Cutaneous anthrax,10011660,Equivalent,Cutaneous anthrax,10011660,v28.0
I,Certain infectious and parasitic diseases,A22.1,Pulmonary anthrax,Pulmonary anthrax,10037321,Equivalent,Pneumonia anthrax,10035667,v28.0
I,Certain infectious and parasitic diseases,A22.2,Gastrointestinal anthrax,Gastrointestinal anthrax,10017931,Equivalent,Gastrointestinal anthrax,10017931,v28.0
I,Certain infectious and parasitic diseases,A22.7,Anthrax sepsis,Anthrax sepsis,10058873,Equivalent,Anthrax sepsis,10058873,v28.0
I,Certain infectious and parasitic diseases,A22.8,Other forms of anthrax,Anthrax,10002713,Equivalent,Anthrax,10002713,v28.0
I,Certain infectious and parasitic diseases,A22.9,"Anthrax, unspecified","Anthrax, unspecified",10002716,Equivalent,Anthrax,10002713,v28.0
I,Certain infectious and parasitic diseases,A23,Brucellosis,Brucellosis,10006500,Equivalent,Brucellosis,10006500,v28.0
I,Certain infectious and parasitic diseases,A23.0,Brucellosis due to Brucella melitensis,Brucella melitensis infection,10006497,Equivalent,Brucellosis,10006500,v28.0
I,Certain infectious and parasitic diseases,A23.1,Brucellosis due to Brucella abortus,Brucella abortus infection,10006493,Equivalent,Brucellosis,10006500,v28.0
I,Certain infectious and parasitic diseases,A23.2,Brucellosis due to Brucella suis,Brucella suis infection,10006499,Equivalent,Brucellosis,10006500,v28.0
I,Certain infectious and parasitic diseases,A23.3,Brucellosis due to Brucella canis,Brucella canis,10006494,Equivalent,Brucellosis,10006500,v28.0
I,Certain infectious and parasitic diseases,A23.8,Other brucellosis,Brucellosis,10006500,Equivalent,Brucellosis,10006500,v28.0
I,Certain infectious and parasitic diseases,A23.9,"Brucellosis, unspecified",Brucellosis,10006500,Equivalent,Brucellosis,10006500,v28.0
I,Certain infectious and parasitic diseases,A24,Glanders and melioidosis,Burkholderia infection,10073031,Loss of Information,Burkholderia infection,10073031,v28.0
I,Certain infectious and parasitic diseases,A24.0,Glanders,Glanders,10018298,Equivalent,Burkholderia mallei infection,10069747,v28.0
I,Certain infectious and parasitic diseases,A24.1,Acute and fulminating melioidosis,Melioidosis,10027165,Loss of Information,Burkholderia pseudomallei infection,10069748,v28.0
I,Certain infectious and parasitic diseases,A24.2,Subacute and chronic melioidosis,Melioidosis,10027165,Loss of Information,Burkholderia pseudomallei infection,10069748,v28.0
I,Certain infectious and parasitic diseases,A24.3,Other melioidosis,Melioidosis,10027165,Equivalent,Burkholderia pseudomallei infection,10069748,v28.0
I,Certain infectious and parasitic diseases,A24.4,"Melioidosis, unspecified",Melioidosis,10027165,Equivalent,Burkholderia pseudomallei infection,10069748,v28.0
I,Certain infectious and parasitic diseases,A25,Rat-bite fevers,Rat-bite fever,10037904,Equivalent,Zoonotic bacterial infection,10061417,v28.0
I,Certain infectious and parasitic diseases,A25.0,Spirillosis,Rat-bite spirillary fever,10037906,Equivalent,Spirillary fever,10041624,v28.0
I,Certain infectious and parasitic diseases,A25.1,Streptobacillosis,Rat-bite streptobacillary fever,10037907,Equivalent,Streptobacillary fever,10042175,v28.0
I,Certain infectious and parasitic diseases,A25.9,"Rat-bite fever, unspecified",Rat-bite fever unspecified,10037905,Equivalent,Zoonotic bacterial infection,10061417,v28.0
I,Certain infectious and parasitic diseases,A26,Erysipeloid,Erysipeloid,10015146,Equivalent,Erysipeloid,10015146,v28.0
I,Certain infectious and parasitic diseases,A26.0,Cutaneous erysipeloid,Erysipeloid,10015146,Equivalent,Erysipeloid,10015146,v28.0
I,Certain infectious and parasitic diseases,A26.7,Erysipelothrix sepsis,Erysipelothrix sepsis,10080432,Equivalent,Erysipelothrix sepsis,10080432,v28.0
I,Certain infectious and parasitic diseases,A26.8,Other forms of erysipeloid,Erysipeloid,10015146,Equivalent,Erysipeloid,10015146,v28.0
I,Certain infectious and parasitic diseases,A26.9,"Erysipeloid, unspecified",Erysipeloid,10015146,Equivalent,Erysipeloid,10015146,v28.0
I,Certain infectious and parasitic diseases,A27,Leptospirosis,Leptospirosis,10024238,Equivalent,Leptospirosis,10024238,v28.0
I,Certain infectious and parasitic diseases,A27.0,Leptospirosis icterohaemorrhagica,Leptospirosis icterohaemorrhagica,10024239,Equivalent,Weil's disease,10047903,v28.0
I,Certain infectious and parasitic diseases,A27.8,Other forms of leptospirosis,Leptospirosis,10024238,Equivalent,Leptospirosis,10024238,v28.0
I,Certain infectious and parasitic diseases,A27.9,"Leptospirosis, unspecified","Leptospirosis, unspecified",10024241,Equivalent,Leptospirosis,10024238,v28.0
I,Certain infectious and parasitic diseases,A28,"Other zoonotic bacterial diseases, not elsewhere classified",Zoonotic bacterial infection,10061417,Equivalent,Zoonotic bacterial infection,10061417,v28.0
I,Certain infectious and parasitic diseases,A28.0,Pasteurellosis,Pasteurellosis,10034113,Equivalent,Pasteurella infection,10034106,v28.0
I,Certain infectious and parasitic diseases,A28.1,Cat-scratch disease,Cat-scratch disease,10007731,Equivalent,Cat scratch disease,10007729,v28.0
I,Certain infectious and parasitic diseases,A28.2,Extraintestinal yersiniosis,Extraintestinal yersiniosis,10080444,Equivalent,Yersinia infection,10061416,v28.0
I,Certain infectious and parasitic diseases,A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",Zoonotic bacterial infection,10061417,Equivalent,Zoonotic bacterial infection,10061417,v28.0
I,Certain infectious and parasitic diseases,A28.9,"Zoonotic bacterial disease, unspecified",Zoonotic bacterial infection,10061417,Equivalent,Zoonotic bacterial infection,10061417,v28.0
I,Certain infectious and parasitic diseases,A30,Leprosy [Hansen disease],Leprosy,10024229,Equivalent,Leprosy,10024229,v28.0
I,Certain infectious and parasitic diseases,A30.0,Indeterminate leprosy,Indeterminate leprosy,10021700,Equivalent,Indeterminate leprosy,10021700,v28.0
I,Certain infectious and parasitic diseases,A30.1,Tuberculoid leprosy,Tuberculoid leprosy,10044729,Equivalent,Tuberculoid leprosy,10044729,v28.0
