RDM_NAME_NM,RDM_CODE_CD,MEDDRA_TERM,ACRONYM,ISACTIVE,CREATED_BY,CREATE_DATE_TS,UPDATED_BY,LAST_UPDATE_DATE_TS,SOURCE_SYSTEM
SIT_MDRAT_Edit-SIT,SIT,SIT_MDRAT_Edit,SIT_CIA_Edit,Yes,INF_BATCH,2024-09-13 07:40:13.482,INF_BATCH,2024-10-07 07:16:44.567,INF_R360
Test_SIT_R3_MedDRA-Test_SIT_R3_Code,Test_SIT_R3_Code,Test_SIT_R3_MedDRA,Test_SIT_R3_CIA,Yes,INF_BATCH,2024-09-13 07:40:13.482,INF_BATCH,2024-10-07 07:16:44.567,INF_R360
test term MOD-medra test MOD,medra test MOD,test term MOD,CJTEST,Yes,INF_BATCH,2024-09-13 07:40:13.482,INF_BATCH,2024-10-07 07:16:44.567,INF_R360
test blanc-test blanc,test blanc,test blanc,TEST BLANC,Yes,INF_BATCH,2024-09-13 07:40:13.482,INF_BATCH,2024-10-07 07:16:44.567,INF_R360
MDMRD698 Term-MDMRD698,MDMRD698,MDMRD698 Term,MDMRD698,Yes,INF_BATCH,2024-09-13 07:40:13.482,INF_BATCH,2024-11-27 13:16:54.099,INF_R360
Shingles-10040555,10040555,Shingles,HZ,Yes,INF_BATCH,2025-12-16 16:16:35.784,INF_BATCH,2025-12-16 16:16:36.044,INF_R360
Epidermolysis bullosa-10014989,10014989,Epidermolysis bullosa,EB,Yes,INF_BATCH,2025-12-16 16:16:35.784,INF_BATCH,2025-12-16 16:16:36.044,INF_R360
Netherton's syndrome-10062909,10062909,Netherton's syndrome,NS,Yes,INF_BATCH,2025-12-16 16:16:35.784,INF_BATCH,2025-12-16 16:16:36.044,INF_R360
Drug eruption-10013687,10013687,Drug eruption,DRUGE,Yes,INF_BATCH,2025-12-10 13:16:16.408,INF_BATCH,2025-12-10 13:16:16.658,INF_R360
Allergic rhinoconjunctivitis-10001728,10001728,Allergic rhinoconjunctivitis,ALLRCNJ,Yes,INF_BATCH,2025-10-17 14:16:07.058,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Mast cell activation syndrome-10075217,10075217,Mast cell activation syndrome,MCAS,Yes,INF_BATCH,2025-10-17 14:16:07.058,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Advanced systemic mastocytosis-10089805,10089805,Advanced systemic mastocytosis,ASMast,Yes,INF_BATCH,2025-10-17 14:16:07.058,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Systemic mastocytosis-10042949,10042949,Systemic mastocytosis,SMast,Yes,INF_BATCH,2025-10-17 14:16:07.058,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Indolent systemic mastocytosis-10056452,10056452,Indolent systemic mastocytosis,Ismet,Yes,INF_BATCH,2025-10-17 14:16:07.058,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Familial chylomicronemia syndrome-10085051,10085051,Familial chylomicronemia syndrome,FCS,Yes,INF_BATCH,2025-09-22 16:16:05.146,INF_BATCH,2026-01-12 13:16:32.144,INF_R360
Invasive pneumococcal disease-10092606,10092606,Invasive pneumococcal disease,IPD,Yes,INF_BATCH,2025-09-09 19:15:59.657,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Rhinovirus infection-10061494,10061494,Rhinovirus infection,RV-INF,Yes,INF_BATCH,2025-05-30 17:16:20.134,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Metabolic dysfunction-associated steatohepatitis-10090856,10090856,Metabolic dysfunction-associated steatohepatitis,MASH,Yes,INF_BATCH,2025-05-30 17:16:20.134,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Genitourinary chlamydia infection-10018185,10018185,Genitourinary chlamydia infection,CT-INF,Yes,INF_BATCH,2025-05-23 13:16:15.059,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Bacterial meningitis-10004049,10004049,Bacterial meningitis,BACT MNG,Yes,INF_BATCH,2025-05-09 09:15:55.044,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Infectious mononucleosis-10021914,10021914,Infectious mononucleosis,INF MONO,Yes,INF_BATCH,2025-05-09 09:15:55.044,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Yellow fever virus infection-10048242,10048242,Yellow fever virus infection,YFV INF,Yes,INF_BATCH,2025-05-09 09:15:55.044,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Peanut allergy-10034202,10034202,Peanut allergy,PEAN-ALG,Yes,INF_BATCH,2025-05-09 09:15:55.044,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
