RDM_CODE_CD,RDM_NAME_NM,TYPE,EN_NM,PARENT_CODE_CD,LEVEL2TYPE,ISACTIVE,CREATED_BY,CREATE_DATE_TS,UPDATED_BY,LAST_UPDATE_DATE_TS,SOURCE_SYSTEM
ME00,DEPARTMENT - Strategic Pillars unallocated - ME00,DEPARTMENT,Strategic Pillars unallocated,ME,Total_Pharma_Services,Yes,INF_BATCH,2026-01-23 19:16:37.539,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
ME0000,SERVICE - Strategic Pillars unallocated - ME0000,SERVICE,Strategic Pillars unallocated,ME00,Total_Pharma_Services,Yes,INF_BATCH,2026-01-23 19:16:37.539,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
EM13,"DEPARTMENT - R&D Program Change Mgt, M&A - EM13",DEPARTMENT,"R&D Program Change Mgt, M&A",EM,Total_Pharma_Services,Yes,INF_BATCH,2026-01-21 19:16:23.631,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
EM1300,"SERVICE - R&D Program Change Mgt, M&A - EM1300",SERVICE,"R&D Program Change Mgt, M&A",EM13,Total_Pharma_Services,Yes,INF_BATCH,2026-01-21 19:16:23.631,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
EM14,DEPARTMENT - R&D Transformation Excellence - EM14,DEPARTMENT,R&D Transformation Excellence,EM,Total_Pharma_Services,Yes,INF_BATCH,2026-01-21 19:16:23.631,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
EM1400,SERVICE - R&D Transformation Excellence - EM1400,SERVICE,R&D Transformation Excellence,EM14,Total_Pharma_Services,Yes,INF_BATCH,2026-01-21 19:16:23.631,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
HA1003,SERVICE - Other (Group of CCS) - HA1003,SERVICE,Other (Group of CCS),HA10,Total_Pharma_Services,Yes,INF_BATCH,2026-01-16 19:16:34.093,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
EP1001,SERVICE - OPCM CSO - EP1001,SERVICE,OPCM CSO,EP10,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
EP1002,SERVICE - OPCM CMC - EP1002,SERVICE,OPCM CMC,EP10,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
EP1003,SERVICE - OPCM TMU - EP1003,SERVICE,OPCM TMU,EP10,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
EP1004,SERVICE - OPCM Regulatory - EP1004,SERVICE,OPCM Regulatory,EP10,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
EP1005,"SERVICE - OPCM Planning, Resource Mngt Hub - EP1005",SERVICE,"OPCM Planning, Resource Mngt Hub",EP10,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
M,PILLAR - One Medical & Patient Safety - M,PILLAR,One Medical & Patient Safety,TOTAL_PHARMA_SERVICES,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
MA,UNIT - CMO Head Office - MA,UNIT,CMO Head Office,M,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
MA10,DEPARTMENT - CMO Head Office - MA10,DEPARTMENT,CMO Head Office,MA,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
MA1000,SERVICE - CMO Head Office - MA1000,SERVICE,CMO Head Office,MA10,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
MB,UNIT - Medical Specialty Care - MB,UNIT,Medical Specialty Care,M,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
MB10,DEPARTMENT - I&I Alliance - MB10,DEPARTMENT,I&I Alliance,MB,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
MB1000,SERVICE - I&I Alliance tactics - MB1000,SERVICE,I&I Alliance tactics,MB10,Total_Pharma_Services,Yes,INF_BATCH,2026-01-08 09:54:54.872,INF_BATCH,2026-01-23 23:16:33.522,INF_R360
