ID,SOURCE_PKEY,BUSINESS_ID,PROJECT_IND_CODE_CD,PROJECT_IND_NAME_NM,PROJECT_IND_DESCRIPTION_DESC,PROJECT_IND_RESPONSIBLE,PROJECT_IND_STATUS,PROJECT_IND_STATUS_DETAILED,CLINICAL_IND,MEDICAL_THERAPEUTIC_AREA,SOURCE_SYSTEM,CREATIONDATE_DT,LASTUPDATEDATE_DT,CREATEDBY,UPDATEDBY,PROJECT_IND_PHASE,STATE
194835,69731a31bc6c89f32b33c966,PIN00000019FSX,DC01322_IND001,,Indication for Others file,AB,,,,,MDM,2026-01-23 06:50:25.000,2026-01-23 06:50:25.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
194836,69731a31bc6c89f32b33c965,PIN00000019FSW,DC01321_IND001,,Indication for Others file,AB,,,,,MDM,2026-01-23 06:50:25.000,2026-01-23 06:50:25.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
194600,6970772ab35db167717c6a8d,PIN00000019834,SAR449598_IND001,,Indication for small molecule Dev,BE,To be Validated,To be Validated,,,MDM,2026-01-21 06:50:18.000,2026-01-21 06:50:18.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Pre-candidate,ACTIVE
194344,696b312bbfaf44e59e8dad18,PIN000000190DC,SAR449548_IND001,,Indication for Biologic Dev,BF,To be Validated,To be Validated,,,MDM,2026-01-17 06:50:18.000,2026-01-17 06:50:18.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Phase 1,ACTIVE
193824,6960b5a98e08a7e6d9ca94fe,PIN00000018SNK,GZ402671_IND013,Fabry Disease - Ped,Fabry Disease - Ped 2-17 years,BH,To be Validated,To be Validated,10016016,A,MDM,2026-01-09 08:00:40.000,2026-01-17 06:51:02.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Initiation,ACTIVE
193066,694b8d43ae676c7ac426d7db,PIN00000018KXT,SAR449468_IND001,,Indication for Nanobody,BE,To be Validated,To be Validated,,,MDM,2025-12-24 06:50:43.000,2026-01-22 06:50:12.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Pre-candidate,ACTIVE
193067,694b8d43ae676c7ac426d7da,PIN00000018KXS,LC81702_IND001,HS,Hidradenitis Suppurativa,CF,Ongoing,Ongoing,10020041,,MDM,2025-12-24 06:50:43.000,2026-01-09 08:00:50.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
193068,694b8d43ae676c7ac426d7dd,PIN00000018KXV,SAR449528_IND001,,Indication for Biologic Oncology Dev,BG,To be Validated,To be Validated,,L,MDM,2025-12-24 06:50:43.000,2026-01-22 06:50:27.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Pre-candidate,ACTIVE
193065,694b8d43ae676c7ac426d7dc,PIN00000018KXU,SAR449501_IND001,,Indication for Biologic Oncology Dev,BG,To be Validated,To be Validated,,L,MDM,2025-12-24 06:50:43.000,2026-01-16 06:51:32.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Pre-candidate,ACTIVE
192661,6943a434cd34ca2001571731,PIN00000018D80,SAR231893_IND042,NS,Netherton Syndrome,BE,To be Validated,To be Validated,10062909,D,MDM,2025-12-18 06:50:27.000,2026-01-23 06:50:39.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Initiation,ACTIVE
192454,694101170ba32fc27f0973dd,PIN000000185I8,OC02219_IND001,,Indication for Others file,CA,,,,,MDM,2025-12-16 06:49:58.000,2025-12-19 06:51:41.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
192055,693a69a86919a16a6acce5b1,PIN00000017XSG,DC01320_IND001,,Indication for Others file,FA,,,,,MDM,2025-12-11 06:50:15.000,2025-12-11 06:50:15.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
192056,693a69a86919a16a6acce5b3,PIN00000017XSI,SP0342_IND001,Shingles,Shingles,,To be Validated,To be Validated,10040555,VACC,MDM,2025-12-11 06:50:15.000,2026-01-24 06:49:58.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Pre-M0,ACTIVE
192057,693a69a86919a16a6acce5b2,PIN00000017XSH,SAR231893_IND041,EB,Epidermolysis Bullosa,BE,To be Validated,To be Validated,10014989,D,MDM,2025-12-11 06:50:15.000,2026-01-23 06:51:39.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Initiation,ACTIVE
191703,69312f357996e27e2e3f596e,PIN00000017Q2O,OC02218_IND001,,Indication for Others file,CF,,,,,MDM,2025-12-04 06:50:28.000,2025-12-11 06:52:22.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
191549,692e8c2b8e965fb459e7fa3f,PIN00000017ICW,DC01319_IND001,,Indication for Others file,BE,,,,,MDM,2025-12-02 06:50:19.000,2025-12-03 08:28:21.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
190312,69142e4926e0647c4fe76c5f,PIN00000017AN5,SAR449028_IND005,MCAS,Mast Cell Activation Syndrome,BE,Ongoing,Ongoing,10075217,L,MDM,2025-11-12 06:50:49.000,2026-01-14 06:52:07.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Initiation,ACTIVE
190195,6912dcaf8be49aed524ec41d,PIN000000172XJ,LC81311_IND005,IBD,Inflammatory Bowel Disease,CF,Ongoing,Ongoing,10021972,,MDM,2025-11-11 06:50:23.000,2025-11-11 06:50:23.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
190196,6912dcb28be49aed524ec456,PIN000000172XN,SAR449028_IND002,CIndU,Chronic Inducible Urticaria,BE,Ongoing,Ongoing,10052568,D,MDM,2025-11-11 06:50:26.000,2025-11-15 06:50:43.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Phase 2A,ACTIVE
190197,6912dcb28be49aed524ec465,PIN000000172XO,SAR449028_IND004,Asthma,Asthma,BE,Ongoing,Ongoing,10003553,R,MDM,2025-11-11 06:50:26.000,2026-01-15 08:25:30.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Initiation,ACTIVE
190198,6912dcb18be49aed524ec438,PIN000000172XL,LC81311_IND006,Psoriasis,Psoriasis,CF,Ongoing,Ongoing,10037153,,MDM,2025-11-11 06:50:24.000,2025-11-11 06:50:24.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
190199,6912dcb28be49aed524ec474,PIN000000172XP,LC81311_IND004,Asthma,Asthma,CF,Ongoing,Ongoing,10003553,,MDM,2025-11-11 06:50:26.000,2025-11-11 06:50:26.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
190200,6912dcb18be49aed524ec447,PIN000000172XM,SAR449028_IND003,ARC,Allergic Rhino Conjunctivitis,BE,On Hold,On Hold,10001728,R,MDM,2025-11-11 06:50:25.000,2026-01-24 06:51:07.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Phase 2A,ACTIVE
189849,690c455464918b5a6b172325,PIN00000016V7T,SAR448972_IND002,AdvSM,Advanced Systemic Mastocytosis,BE,Completed,Completed active,10089805,L,MDM,2025-11-06 06:50:59.000,2026-01-23 06:50:48.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,LCM,ACTIVE
189850,690c455464918b5a6b172323,PIN00000016V7R,SAR448972_IND005,SM,Systemic Mastocytosis,BE,Completed,Completed active,10042949,L,MDM,2025-11-06 06:50:59.000,2026-01-15 08:25:32.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,LCM,ACTIVE
189851,690c455464918b5a6b17231e,PIN00000016V7M,OC02216_IND001,,Indication for Others file,CO,,,,,MDM,2025-11-06 06:50:59.000,2025-11-07 06:50:26.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
189852,690c455464918b5a6b172322,PIN00000016V7Q,SAR448972_IND004,GIST,Gastrointestinal stromal tumour,BG,Ongoing,Ongoing,10017758,L,MDM,2025-11-06 06:50:59.000,2026-01-15 08:25:59.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,LCM,ACTIVE
189853,690c455464918b5a6b17231d,PIN00000016V7L,OC02215_IND001,,Indication for Others file,CS,,,,,MDM,2025-11-06 06:50:59.000,2025-11-07 06:50:41.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
189854,690c455464918b5a6b17231f,PIN00000016V7N,OC02217_IND001,,Indication for Others file,CO,,,,,MDM,2025-11-06 06:50:59.000,2025-11-07 06:50:43.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
189845,690c455464918b5a6b17231c,PIN00000016V7K,OC02214_IND001,,Indication for Others file,CS,,,,,MDM,2025-11-06 06:50:59.000,2025-11-07 06:50:43.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
189846,690c455464918b5a6b172321,PIN00000016V7P,SAR448972_IND003,Solid Tumors - Ped,Pediatric Solid Tumor,BG,Not Validated,Not Validated,10065252,L,MDM,2025-11-06 06:50:59.000,2025-11-22 06:52:08.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
189847,690c455464918b5a6b172324,PIN00000016V7S,OC02213_IND001,,Indication for Others file,CS,,,,,MDM,2025-11-06 06:50:59.000,2025-11-07 06:50:36.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
189848,690c455464918b5a6b172320,PIN00000016V7O,SAR448940_IND002,AdvSM,Advanced Systemic Mastocytosis,BE,Stopped,Stopped active,10089805,L,MDM,2025-11-06 06:50:59.000,2026-01-23 06:51:07.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Phase 2,ACTIVE
189777,690b088be53b39e515c97917,PIN00000016NHS,SERIE_LNP_DISCO_DH,,Serie for Bio Disco,C,Ongoing,Ongoing,,,MDM,2025-11-05 08:19:22.000,2026-01-23 06:50:30.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
189523,690850a2ad85be92bbee6fbf,PIN00000016FS0,SAR448555_IND002,UC,Crohn's disease,BE,To be Validated,To be Validated,10011401,A,MDM,2025-11-03 06:50:10.000,2026-01-24 06:50:01.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,Initiation,ACTIVE
