ID,SOURCE_PKEY,BUSINESS_ID,PROJECT_CODE_CD,PROJECT_RESPONSIBLE,PROJECT_ORGANIZATION_TYPE,PROJECT_TYPE,PROJECT_SUBTYPE,PROJECT_NAME_NM,PROJECT_DESCRIPTION_DESC,PROJECT_CATEGORY,PROJECT_STATUS,PROJECT_STATUS_DETAILED,PROJECT_PHASE,MECHANISM_OF_ACTION,ACTIVE_SUBSTANCE_TYPE,ACTIVE_SUBSTANCE_SUB_TYPE,ORIGIN_OF_ACTIVE_SUBSTANCE,ORIGIN_COMPANY_OF_ACTIVE_SUBSTANCE,EXTERNAL_ACTIVE_SUBSTANCE_CODE,DATE_OF_AGREEMENT,BRAND_NAME_NM,INN,RA_CODE,ADDITIONAL_PROJECT_INFORMATION,RESEARCH_PROJECT_TARGET,RW_CLUSTER,SCREENING_ORIENTATION,SCREEN_TYPE,TARGET_RATIONALE,PROJECT_GLOBAL_OBJECTIVE,SOURCE_SYSTEM,CREATIONDATE_DT,LASTUPDATEDATE_DT,CREATEDBY,UPDATEDBY,SOURCE_OF_ORIGIN,STATE
6754697,697224f8d26641e09205278a,VAC00000018SNK,P2514269,,VACCINE,Vaccine Other,PPI,B100 Yield Improvement,B100 Yield Improvement,O,Ongoing,Ongoing,,,,,,,,,,,,,,,,,,Implement and validate process modifications to achieve the LTIP yield targets at minimum  for 5 component acellular pertussis (5acP) antigens manufactured in B100 by 2029 while maintaining product comparability,MDM,2026-01-22 13:24:07.000,2026-01-24 05:05:22.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6754695,69721dd6461645101e423f3e,OTH00000019NIO,DC01321,AB,OTHER,Transversal,Other Development Activities,,DC01321 - Common Technical Document 8-wk Acceleration,D,Ongoing,Ongoing,Others,Common Technical Document 8-wk Acceleration,,,,,,,,,,,,,,,,,MDM,2026-01-22 12:53:41.000,2026-01-24 05:04:52.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6754696,69721f651bff347f7a395c77,OTH00000019V8G,DC01322,AB,OTHER,Transversal,Other Development Activities,,DC01322 - SPRINT - Research to Development Cycle Time,D,Ongoing,Ongoing,Others,SPRINT - Research to Development Cycle Time,,,,,,,,,,,,,,,,,MDM,2026-01-22 13:00:20.000,2026-01-24 05:04:54.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6754698,697228e6ba41d04d344b03b6,VAC000000190DC,P24138213,,VACCINE,Vaccine Other,PPI,5cP ACF Seed Implementation and Tech Transfer from B89 - B100,5cP ACF Seed Implementation and Tech Transfer from B89 - B100,O,Ongoing,Ongoing,,,,,,,,,,,,,,,,,,"Implement the use of 5cP ACF Seed in B100 and transfer 5cP ACF production seed manufacturing process to B100, for routine commercial manufacturing",MDM,2026-01-22 13:40:53.000,2026-01-24 05:05:19.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6746915,696e3e64402da9c600a3a9f7,DEV0000001C0E8,SAR449598,BE,DEVELOPMENT,Development,Development,ITK x TXK,SAR449598 - ITK x TXK sm,D,To be Validated,To be Validated,Pre-candidate,ITK x TXK sm,Synthetic,SM,Internal,,,,,,RA20105091,,,,,,,,MDM,2026-01-19 14:23:31.000,2026-01-24 05:05:12.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6705521,696119901c6c25dd7c708025,DEV0000001B5J4,SAR449548,BF,DEVELOPMENT,Development,Development,Tau-acK280,SAR449548 - Tau-acK280 mAb,D,To be Validated,To be Validated,Phase 1,Tau-acK280 mAb,Biologics,ANT,Licensed,ADEL,ADEL-Y01,,,,RA20311551,"ADEL-Y01 is differentiated from internal Tfr-MTBR-tau in targeting toxic acK280 species and consistent preclinical activity in multiple models, with need to test multiple potential tau targets in humans for translation of clinical efficacy.  Alzheimer's d",,,,,,,MDM,2026-01-09 15:06:55.000,2026-01-24 05:05:11.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6654507,69494cb2da78e5c31cd96c3b,RES0000001PII8,LC81702,CF,RESEARCH,Research,Research,BAFF x LIGHT mAb (LC81702),LC81702 - BAFF x LIGHT mAb,R,Ongoing,Ongoing,M0-M1,BAFF x LIGHT mAb,Biologics,ANT,Internal,,,,,,,,,,TB,NOTAPP,"Bispecific antibody that blocks the activity of BAFF and LIGHT.  Blocking the binding of BAFF to its receptors: mainly BAFFR but also BCMA and TACI would prevent B cell maturation and reduce T cell activiation, B cell survival and Plasma cells differentiation and thereby autoantibody productions.   On the other hand, blocking LIGHT would block LIGHT-LTBR (non-immune cells) and LIGHT-HVEM (immune cells) interactions leading to reduction of T/B cell activation, fibrosis.  Combined blockade of both BAFF and LIGHT, would interfere mainly with structural /B/T cell activation, autoantibody production, cytokine production and TLS formation. Fast track with anti-BAFF mAb Belimumab and anti-LIGHT mAbs Quisovalimab and 5 Kymab mAbs. Belimumab (GSK) is running out of patent in 2026. Sanofi has a colloboration with Kyowa Hakko Kirin on Quisovalimab. There are internal mAb generation campaigns running against BAFF and LIGHT as BU track.",,MDM,2025-12-22 13:50:41.000,2026-01-24 05:05:02.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6654506,69493f8da1facdfd9da2cc21,DEV0000001AQ3K,SAR449468,BE,DEVELOPMENT,Development,Development,TSLPxOX40L,SAR449468 - TSLP x OX40L Nanobody VHH,D,To be Validated,To be Validated,Pre-candidate,TSLP x OX40L Nanobody VHH,Biologics,NBDY,Internal,,,,,,RA19927211,,,,,,,,MDM,2025-12-22 12:54:37.000,2026-01-24 05:05:12.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6654504,69491f5723936e1dd2a6f50b,DEV0000001AAO0,SAR449528,BG,DEVELOPMENT,Development,Development,GPC3xCD16 NKCE,SAR449528 - GPC3 x CD16 Nanobody VHH (NKCE),D,To be Validated,To be Validated,Pre-candidate,GPC3 x CD16 Nanobody VHH (NKCE),Biologics,NBDY,Internal,,,,,,RA19922047,,,,,,,,MDM,2025-12-22 10:37:10.000,2026-01-24 05:05:12.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6654505,69492802cc7cdbc2767b498f,DEV0000001AIDS,SAR449501,BG,DEVELOPMENT,Development,Development,B7H4 x IL2Rbg ADCC,SAR449501 - B7H4 x IL2Rbg Hybrid - ADCC enhanced,D,To be Validated,To be Validated,Pre-candidate,B7H4 x IL2Rbg Hybrid - ADCC enhanced,Biologics,HYB,Internal,,,,,,RA18881569,,,,,,,,MDM,2025-12-22 11:14:09.000,2026-01-24 05:05:12.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6646924,69456e34cc7cdbc2765708ab,VAC00000018D80,INF25504,,VACCINE,Vaccine Transversal,INF,GMP Toronto Manufacturing Closure,This project is for all the activities to implement the GMP Toronto Manufacturing Closing in Toronto Sanofi Vaccines site,O,Ongoing,Ongoing,,,,,,,,,,,,,,,,,,This project is to implement all the activities to for the GMP Toronto Manufacturing Closing in Toronto Sanofi Vaccines site,MDM,2025-12-19 15:24:35.000,2026-01-24 05:05:21.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6631836,693c2d2123936e1dd2498945,OTH000000185I8,OC02219,CA,OTHER,Transversal,Other Research Activities,CytoReason 2.0 project (OC02219),OC02219 - CytoReason 2.0 project,R,Ongoing,Ongoing,Others,CytoReason 2.0 project,,,,,,,,,,"To be able to track independently, TDSB and other research platform collaboration with CytoReason  and to enable seamless RWG and Alliance dashboard monitoring",,,,,,,MDM,2025-12-12 14:56:33.000,2026-01-24 05:04:57.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
