MEDDRA_LLT_CODE,MEDDRA_LLT,SNOMED_CT_CODE,SNOMED_CT_FSN
10000051,Abdominal aneurysm,233985008,Abdominal aortic aneurysm (disorder)
10000054,Abdominal aortic aneurysm,233985008,Abdominal aortic aneurysm (disorder)
10000056,Abdominal cramp,51197009,Stomach cramps (finding)
10000057,Abdominal cramps,51197009,Stomach cramps (finding)
10000058,Abdominal crampy pains,21522001,Abdominal pain (finding)
10000059,Abdominal discomfort,43364001,Abdominal discomfort (finding)
10000060,Abdominal distension,162068007,Abdominal distension symptom (finding)
10000075,Abdominal hysterectomy,116141005,Abdominal hysterectomy (procedure)
10000081,Abdominal pain,21522001,Abdominal pain (finding)
10000084,Abdominal pain lower,54586004,Lower abdominal pain (finding)
10000085,Abdominal pain NOS,21522001,Abdominal pain (finding)
10000087,Abdominal pain upper,83132003,Upper abdominal pain (finding)
10000097,Abdominal tenderness,43478001,Abdominal tenderness (finding)
10000125,Abnormal dreams,85418005,Dream disorder (finding)
10000136,Abnormal gait,22325002,Abnormal gait (finding)
10000151,Abnormal involuntary movements,267078001,Involuntary movement (finding)
10000156,Abnormal LFTs,166603001,Liver function tests outside reference range (finding)
10000158,Abnormal liver function tests,166603001,Liver function tests outside reference range (finding)
10000159,Abnormal loss of weight,267024001,Abnormal weight loss (finding)
10000163,Abnormal physical sensation,247322000,Abnormal sensation (finding)
10000182,Abnormal thinking,26628009,Disturbance in thinking (finding)
10000186,Abnormal vision,7973008,Abnormal vision (finding)
10000188,Abnormal weight gain,161833006,Abnormal weight gain (finding)
10000210,Abortion,363681007,Pregnancy with abortive outcome (disorder)
10000220,Abortion induced,714812005,Induced termination of pregnancy (procedure)
10000234,Abortion spontaneous,17369002,Miscarriage (disorder)
10000269,Abscess,128477000,Abscess (disorder)
10000278,Abscess dental,299709002,Dental abscess (disorder)
10000279,Abscess drainage,118442004,Drainage of abscess (procedure)
10000326,Absence of menstruation,14302001,Amenorrhea (finding)
10000331,Absence seizure,79631006,Absence seizure (finding)
10000340,Abstains from alcohol,105542008,Current non-drinker of alcohol (finding)
10000357,Accelerated hair loss,278040002,Loss of hair (finding)
10000369,Accident,55566008,Accidental physical contact (event)
10000372,Accident at work,17542004,Accident while engaged in work-related activity (event)
10000373,Accident automobile,426772002,Automobile accident (event)
10000381,Accidental overdose,1149223009,Accidental overdose (disorder)
10000424,Ache,22253000,Pain (finding)
10000428,Ache NOS,22253000,Pain (finding)
10000431,Aches & pains in legs,10601006,Pain in lower limb (finding)
10000433,Achilles tendinitis,11654001,Achilles tendinitis (disorder)
