PROJECT_CODE,PROJECT_CATEGORY,PROJECT_ORGANIZATION,PROJECT_NAME,PROJECT_DESCRIPTION,PROJECT_STATUS,PROJECT_PHASE,PROJECT_PRIORITY,PROJECT_INNOVATION_STATUS,PROJECT_RESEARCH_DEVELOPMENT_LINK,PROJECT_SANOFI_THERAPEUTIC_AREA,ASSET_INN,ASSET_BRAND_NAME,ASSET_MECHANISM_OF_ACTION,ASSET_MOA_SHORT_NAME,ASSET_ACTIVE_SUBSTANCE_TYPE,ASSET_ACTIVE_SUBSTANCE_SUBTYPE,ASSET_ORIGIN_OF_ACTIVE_SUBSTANCE,ASSET_PHARMACOLOGICAL_EFFECT,INDICATION_UNIQUE_CODE,INDICATION_LEAD_FLAG,INDICATION_LONGNAME,INDICATION_SHORTNAME,INDICATION_PHASE,INDICATION_CODE_MEDDRA,INDICATION_NAME_MEDDRA,INDICATION_STATUS,INDICATION_SANOFI_THERAPEUTIC_AREA,INDICATION_SANOFI_SUB_THERAPEUTIC_AREA_FRANCHISE,INDICATION_PTRS
LC81286,Research,PHARMA,OSM x IL23 Hybrid (LC81286),LC81286 - OSM x IL23 Hybrid,Ongoing,M1-M2,High Priority,FiC,SAR449310,SAR449310,,,OSM x IL23 Hybrid,OSMxIL23,Biologics,HYB,Internal,Binding,LC81286_IND005,,Ulcerative Colitis,UC,,10009900,Colitis ulcerative,Ongoing,,,
SP0202,Development,VACCINE,PCV21,Streptococcus pneumoniae conjugate vaccine,Ongoing,Phase 3,High,Little / Uncertain differentiation,,,,,Active immunization,,Biologics,GCV,Licensed,,SP0202_IND007,FALSE,STOPPED Japan Adults - Skypac,PCV - Adult - JP,,10092606,Invasive pneumococcal disease,Stopped,Vaccines,PMED_Pneumo Meningitis,
LC81670,Research,PHARMA,OX40 x PD1 Hybrid (LC81670),LC81670 - OX40 x PD1 Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,OX40 x PD1 Hybrid,OX40xPD1,Biologics,HYB,Internal,Modulation,LC81670_IND002,,Ulcerative Colitis,UC,,10052568,Urticaria chronic,Ongoing,,,
SP0230,Development,VACCINE,MenPenta,Neisseria meninigitidis (ACWY+B) combination vaccine,Ongoing,Phase 2,Very High,BiC,,,,,Active immunization,,Biologics,VAC,Internal,,SP0230_IND002,FALSE,MenB-First Licensure-Ado-Toddler-infants,Meningitis B,Phase 2A,10004049,Bacterial meningitis,Stopped,Vaccines,PMED_Pneumo Meningitis,0.39
AVE0010-1,Development,PHARMA,Soliqua,AVE0010-1 - Combo GLP1R peptide - Insulin Glargine,Completed,LCM,Standard,Little / Uncertain differentiation,,,Insulin Glargine/Lixisenatide,Soliqua,Combo GLP1R peptide - Insulin Glargine,GLP1R x Insulin glargine,Synthetic,PEP,Licensed,Agonism,AVE0010-1_IND004,TRUE,Lixilan - T2DM - OAD+Basal - SC - China,T2DM OAD&Basal - CN - SC,LCM,10067585,Type 2 diabetes mellitus,Completed,DCVM,T1 & T2 Diabetes,1
SP0047,Development,VACCINE,MenQuadfi,Neisseria meninigitidis (ACWY) conjugate tetanus toxoid vaccine,Ongoing,Post-Launch,High,Little / Uncertain differentiation,,,,MenQuadfi,Active immunization,,Biologics,GCV,Internal,,SP0047_IND001,FALSE,Wave 1 - PFS - MenQuadfi,1Y+ 2Y+ - PFS,Post-Launch,10004049,Bacterial meningitis,Stopped,Vaccines,PMED_Pneumo Meningitis,
SAR440340,Development,PHARMA,itepekimab,SAR440340 - IL33 mAb,Ongoing,Phase 3,Medium,FiC,,,itepekimab,,IL33 mAb,IL33,Biologics,ANT,Licensed,Antagonism,SAR440340_IND002,FALSE,Asthma,Asthma,Phase 2A,10003553,Asthma,Stopped,Immuno-inflammation,,
SAR341402,Development,PHARMA,Truvelog/Insulin aspart,SAR341402 - Rapid acting insulin (SARA),Completed,LCM,Standard,FiC,,,insulin aspart,Truvelog/Insulin aspart,Rapid acting insulin (SARA),Insulin aspart,Biologics,INS,Internal,Mimetism,SAR341402_IND004,FALSE,T1 & T2 Diabetes Mellitus - Solution - Interchangeability,,,10012594,Diabetes,Stopped,DCVM,,
SAR153191,Development,PHARMA,Kevzara,SAR153191 - IL6R mAb,Ongoing,LCM,Standard,Little / Uncertain differentiation,,,sarilumab,Kevzara,IL6R mAb,IL6R,Biologics,ANT,Licensed,Inhibition,SAR153191_IND001,FALSE,Polyarticular Juvenile Idiopathic Arthritis - Ped,pcJIA - Ped,LCM,10059176,Juvenile idiopathic arthritis,Completed,Immuno-inflammation,Rheumatology,1
LC81390,Research,PHARMA,PIM1 sm - AI-driven (LC81390),LC81390 - PIM1 sm - AI-driven,Ongoing,M0-M1,High Priority,FiC,,,,,PIM1 sm - AI-driven,PIM1 AI-driven,Synthetic,SM,Internal,Inhibition,LC81390_IND005,,Rheumatoid Arthritis,RA,,10039073,Rheumatoid arthritis,Ongoing,,,
LC81159,Research,PHARMA,IL13 x IL4 x OX40L mAb (LC81159),LC81159 - IL13 x IL4 x OX40L mAb,Completed,M1-M2,Regular Priority,FiC,SAR447287,SAR447287,,,IL13 x IL4 x OX40L mAb,IL13xIL4xOX40L,Biologics,ANT,Internal,Blocking,LC81159_IND003,,Systemic Sclerosis,SSc,,10042953,Systemic sclerosis,Completed,,,
SAR341402,Development,PHARMA,Truvelog/Insulin aspart,SAR341402 - Rapid acting insulin (SARA),Completed,LCM,Standard,FiC,,,insulin aspart,Truvelog/Insulin aspart,Rapid acting insulin (SARA),Insulin aspart,Biologics,INS,Internal,Mimetism,SAR341402_IND008,FALSE,T1 & T2 Diabetes mellitus - Premix 70/30,T1&T2 DM - Premix 70-30,LCM,10012594,Diabetes,Completed,DCVM,,1
LC81286,Research,PHARMA,OSM x IL23 Hybrid (LC81286),LC81286 - OSM x IL23 Hybrid,Ongoing,M1-M2,High Priority,FiC,SAR449310,SAR449310,,,OSM x IL23 Hybrid,OSMxIL23,Biologics,HYB,Internal,Binding,LC81286_IND001,TRUE,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,Immuno-inflammation,Gastroenterology,
LC81419,Research,PHARMA,STAT4 sm (LC81419),LC81419 - STAT4 sm,Ongoing,M0-M1,Regular Priority,FiC,,,,,STAT4 sm,STAT4,Synthetic,SM,Internal,Inhibition,LC81419_IND004,,Systemic Sclerosis,SSc,,10042953,Systemic sclerosis,Ongoing,,,
SP0340,Development,VACCINE,RSV+hMPV Subunit,Respiratory syncytial virus + human metapneumovirus Subunit vaccine,Ongoing,Phase 1,Not Defined,BiC,,,,,Active immunization,,Biologics,SUBUV,Acquired,,SP0340_IND001,TRUE,RSV+hMPV disease,RSV+hMPV disease,Phase 1,10061603,Respiratory syncytial virus infection,Ongoing,Vaccines,RSV,0.46
SAR236553,Development,PHARMA,Praluent,SAR236553 - Anti-PCSK-9 mAb,Completed,LCM,Standard,LCM project,,,alirocumab,Praluent,Anti-PCSK-9 mAb,PCSK9,Biologics,ANT,Licensed,Binding,SAR236553_IND003,FALSE,LDL-C reduction - APAC (KR+TW),,LCM,10020603,Hypercholesterolaemia,Completed,DCVM,,1
LC81417,Research,PHARMA,CD19 in vivo CAR-T (CD8 targeted) (LC81417),LC81417 - CD19 in vivo CAR-T (CD8 targeted),Completed,M1-M2,High Priority,FiC,SAR447998,SAR447998,,,CD19 in vivo CAR-T (CD8 targeted),CD19 CAR-T (CD8 targeted),Biologics,NV GT,Internal,Cytotoxicity,LC81417_IND003,,Myositis,Myositis,,10012503,Dermatomyositis,Completed,,,
