TPR_ID,TPR_CD,TPR_DESC,TPR_PRIME_TABLE,TPR_PRIME_CATEGORY,TPR_PRIME_PORTFOLIO,TPR_FIRST_CD,TPR_ORDER,UPDATE_DT,RW_UID,PROCESS_UID
15,STANDARD,Standard,,,,STANDARD,15,2022-03-10 16:54:09.356,0c371ffd-4e3d-4a63-bcda-1ea14830fc7e,993c4151-997c-4f4c-bfdb-ea65872d4db3
14,IS ACTIVITIES-APPLICATION,IS activities application,,,,ZZZISPROJECT,14,2022-03-10 16:54:09.356,11914cff-c507-4965-9e79-842bd4ecbb59,993c4151-997c-4f4c-bfdb-ea65872d4db3
13,IS ACTIVITIES-PROJECT,IS activities project,,,,ZZZISAPPLICATION,13,2022-03-10 16:54:09.356,c07ffc77-e3d9-4ec4-a28a-cf04cbdc9448,993c4151-997c-4f4c-bfdb-ea65872d4db3
19,TEMPLATE,Template,TEMPLATE,,,,19,2022-03-10 16:54:09.356,0b2f3226-2db9-4e18-b09c-2e33f434de44,993c4151-997c-4f4c-bfdb-ea65872d4db3
1,PRODUCT,Development,DEV_PROJECT,,,PRODUCT,1,2022-03-10 16:54:09.356,f6a232d9-19f1-4aa5-a020-509814258177,993c4151-997c-4f4c-bfdb-ea65872d4db3
10,PRODUCT,Development,OTHER_PROJECT,NotPlanned,D,PRODUCT,10,2022-03-10 16:54:09.356,3b482f90-c28f-4132-bd5e-57f7caae23e7,993c4151-997c-4f4c-bfdb-ea65872d4db3
7,PRODUCT,Development,OTHER_PROJECT,Multi-Project,D,PRODUCT,7,2022-03-10 16:54:09.356,a2ac0bee-b682-4e8c-afb8-6d3fe709110a,993c4151-997c-4f4c-bfdb-ea65872d4db3
5,SUPPORT,Support,OTHER_PROJECT,Support,,SUPPORT,5,2022-03-10 16:54:09.356,afebe5d1-5cb0-4324-b306-b2e3cc3890f6,993c4151-997c-4f4c-bfdb-ea65872d4db3
20,SUPPORTS,Supports,OTHER_PROJECT,Supports,,SUPPORT,5,2022-08-08 13:05:08.577,9fa69631-af12-4d27-b466-752c19de64fe,993c4151-997c-4f4c-bfdb-ea65872d4db3
6,RESEARCH PROGRAM,Research,OTHER_PROJECT,Multi-Project,R,RESEARCH PROGRAM,6,2022-03-10 16:54:09.356,7d7c2a3d-3a67-40da-ae5d-2cd3ae565e05,993c4151-997c-4f4c-bfdb-ea65872d4db3
