TVP_PROF_ID,TITLE,ATTRIBUTE NAME,INDICATION,PROJECT CODE,PROJECT NAME,COMMENTS,STATUS,CREATED BY,MODIFIED BY,CREATED,MODIFIED
1,For populations of interest,,LN,SAR445611,CX3CR1,,Published,Rishab.Khamitkar@sanofi.com,Rishab.Khamitkar@sanofi.com,2023-11-28 05:36:00.000,2023-11-28 05:36:00.000
2,Who Need,,LN,SAR445611,CX3CR1,,Published,Rishab.Khamitkar@sanofi.com,Rishab.Khamitkar@sanofi.com,2023-11-28 05:36:00.000,2023-11-28 05:36:00.000
3,Our product is competitive positioning,Versus current SoC,LN,SAR445611,CX3CR1,,Published,Rishab.Khamitkar@sanofi.com,Rishab.Khamitkar@sanofi.com,2023-11-28 05:36:00.000,2023-11-28 05:36:00.000
4,Our product is competitive positioning,Versus future SoC/Main Competitors,LN,SAR445611,CX3CR1,,Published,Rishab.Khamitkar@sanofi.com,Rishab.Khamitkar@sanofi.com,2023-11-28 05:36:00.000,2023-11-28 05:36:00.000
5,That will deliver,Prescribers,LN,SAR445611,CX3CR1,,Published,Rishab.Khamitkar@sanofi.com,Rishab.Khamitkar@sanofi.com,2023-11-28 05:36:00.000,2023-11-28 05:36:00.000
6,That will deliver,Patients,LN,SAR445611,CX3CR1,,Published,Rishab.Khamitkar@sanofi.com,Rishab.Khamitkar@sanofi.com,2023-11-28 05:36:00.000,2023-11-28 05:36:00.000
7,That will deliver,Payers,LN,SAR445611,CX3CR1,,Published,Rishab.Khamitkar@sanofi.com,Rishab.Khamitkar@sanofi.com,2023-11-28 05:36:00.000,2023-11-28 05:36:00.000
48,That will,Patients,SAR444656_IND003,SAR444656,IRAK4,"Highly effective oral therapy
Reduces abscess and inflammatory nodules, reduces drainage & fatigue, improves pain, reduces both frequency & duration of flares and time to recurrence, minimizes suppuration and odor 
Improvement in depression, anxiety, and suicidal ideation
Improves patient quality of life ",Published,christopher.hewson@sanofi.com,christopher.hewson@sanofi.com,2024-01-23 06:21:00.000,2024-01-23 06:26:00.000
43,For,,SAR444656_IND003,SAR444656,IRAK4,Adult patients (18+) with moderate-to-severe Hidradenitis Suppurativa,Published,christopher.hewson@sanofi.com,christopher.hewson@sanofi.com,2024-01-23 06:21:00.000,2024-01-23 06:26:00.000
16,Who,,SP0047_IND002,SP0047,MENQUADFI,Protection against invasive meningococcal disease caused by N. meningitidis serogroups (ACWY),Published,Mathieu.Rannou@sanofi.com,Rick.Bullaro@sanofi.com,2023-12-07 17:39:00.000,2024-09-16 16:54:00.000
