WBS_ID,WBS_TYPE,WBS_FUNCTIONAL_ID,PROJECT_ID,PRJ_FUNCTIONAL_ID,INDICATION_ID,IND_FUNCTIONAL_ID,PHASE_ID,PHA_FUNCTIONAL_ID,STUDY_ID,STU_FUNCTIONAL_ID,TASK_ID,TSK_FUNCTIONAL_ID,TIME_ID,LV,WBS_LIVE_FLAG,WBS_PHARMA_FLAG,WBS_VACCIN_FLAG,WBS_TRANSVERSAL_FLAG
3CE33CD14E0853DCFD2321DDFC735A7D,PROJECT,SAR443216,3CE33CD14E0853DCFD2321DDFC735A7D,SAR443216,,,,,,,,,20230831,1,true,true,false,
50D238409B48E63DA7947693E08F0DCF,PROJECT,SAR439152,50D238409B48E63DA7947693E08F0DCF,SAR439152,,,,,,,,,20221130,1,true,true,false,
95AD5A7310EB4899282EE8B7D46697C0,PROJECT,SAR446329,95AD5A7310EB4899282EE8B7D46697C0,SAR446329,,,,,,,,,20250703,1,true,true,false,
95AD5A7310EB4899282EE8B7D46697C0,PROJECT,SAR446329,95AD5A7310EB4899282EE8B7D46697C0,SAR446329,,,,,,,,,20220707,1,true,true,false,
8C16436EA80BFCB99625EF999E583685,TASK,309681449567,76009F3FBA1F3CAB62AA71C3BB561DB5,RC01291,,,,,,,8C16436EA80BFCB99625EF999E583685,309681449567,20250803,2,true,true,false,false
C41E60979CDE2A59A246FC2CA3B1FB6E,TASK,310440461067,F6177A9483B5E8516663D2A620C6FD63,NPARD20049,,,,,,,C41E60979CDE2A59A246FC2CA3B1FB6E,310440461067,20240229,2,true,false,true,
00F071F38DC765C41C274C64CCA7F951,STUDY,PTT0748,925AED1B9726E2FA3DD31D423BDF95DC,SAR442720,,,,,00F071F38DC765C41C274C64CCA7F951,PTT0748,,,20250912,2,true,true,false,false
F64060BFFFAF6D568546ACB2926D2414,TASK,333930538160,BB9E6AF38429CF1BA752C6116AC5BF68,NPARD08006,,,,,,,F64060BFFFAF6D568546ACB2926D2414,333930538160,20230406,2,true,false,true,
E18A53F5D40BDE89EC84A00F28133442,TASK,309681416867,7EC0D9D2D4CC1544B106B80F42FA1C15,GZ393590,,,,,,,E18A53F5D40BDE89EC84A00F28133442,309681416867,20241022,2,true,true,false,
DCCE31F78097BFAB401C849A6A1660F3,TASK,310543551260,979284D92CAB713103B2A439D558DE67,LC81186,,,,,,,DCCE31F78097BFAB401C849A6A1660F3,310543551260,20231109,2,true,true,false,
BD1F682ED73270F963B67104EBD6C7F1,TASK,337961252860,2269C5618801B9B78661586D6A48DF3F,GRP0027,,,,,,,BD1F682ED73270F963B67104EBD6C7F1,337961252860,20240915,2,true,false,true,
26F7D8579634635379FAD424B9019C1D,TASK,320446131860,BF354AC88E11B1C7042D829B4BAAD5F5,RC01331,,,,,,,26F7D8579634635379FAD424B9019C1D,320446131860,20250303,2,true,true,false,false
3EA07A0D01982188576F0FB499FD4831,PROJECT,SP0293,3EA07A0D01982188576F0FB499FD4831,SP0293,,,,,,,,,20241103,1,true,false,true,
20E0E5EA7C93676108E11155D22AB6D8,PROJECT,RC01193,20E0E5EA7C93676108E11155D22AB6D8,RC01193,,,,,,,,,20250912,1,true,true,false,
